split_type,fold_id,seed,dbp_id,model,spearman,ndcg_1pct,ndcg_5pct,pairwise_accuracy,top1pct_recovery,n_rc_classes,prediction_variance,training_pair_count,development_exposed,status
protein_cluster_loco,protein_cluster_loco_fold_2,43.0,DBP35,M0,0.29444663485793765,0.7650067553830063,0.7598664234433613,0.5990799539976999,0.13414634146341464,8192.0,0.7858899831771851,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,43.0,DBP5,M0,0.2254112094959063,0.7154661059202418,0.7042185390340591,0.57395,0.07317073170731707,8192.0,0.7858899831771851,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,43.0,DBP35,M1,0.1709529437669541,0.7751358307681174,0.7168847911638263,0.5575778788939447,0.12195121951219512,8192.0,1.370224952697754,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,43.0,DBP5,M1,0.2924970049378758,0.830185465689434,0.7508565612071636,0.5978,0.12195121951219512,8192.0,0.8899884223937988,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,43.0,DBP35,M1c,0.12319474300210981,0.695501057706452,0.6770369968108881,0.5426271313565678,0.15853658536585366,8192.0,1.5759797096252441,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,43.0,DBP5,M1c,0.24125647539601555,0.7630605417489437,0.7310580595038232,0.58095,0.13414634146341464,8192.0,0.9602991938591003,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,43.0,DBP35,M2,0.2651318550783546,0.8045686266290626,0.7641310889629728,0.5862293114655733,0.10975609756097561,8192.0,0.4379824101924896,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,43.0,DBP5,M2,0.19580973692801223,0.7629825079577492,0.7202674257268241,0.565,0.08536585365853659,8192.0,0.4379824101924896,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,43.0,DBP35,M3,0.17352260503721895,0.8291566756108759,0.7411246377738834,0.5627781389069454,0.13414634146341464,8192.0,0.21157418191432953,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,43.0,DBP5,M3,0.18579388922890622,0.8155828401707064,0.7450377379104075,0.5632,0.06097560975609756,8192.0,0.1429443657398224,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_3,17.0,DBP48,M0,-0.03646925176041536,0.5024131900022484,0.5232190940860894,0.4863243162158108,0.0,8192.0,1.086020588874817,3072.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_3,17.0,DBP48,M1,-0.04824689686398515,0.5775461687201886,0.5639603447632318,0.48847442372118605,0.0,8192.0,1.0168044567108154,3072.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_3,17.0,DBP48,M1c,0.01137167467186755,0.4896244743449054,0.5182460799731211,0.5059502975148757,0.0,8192.0,1.1216431856155396,3072.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_3,17.0,DBP48,M2,-0.04823780208440999,0.48572091618336594,0.5141929751635083,0.4864743237161858,0.012195121951219513,8192.0,0.5245377421379089,3072.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_3,17.0,DBP48,M3,-0.13015178637286204,0.49657868124158017,0.4876332315930486,0.4574228711435572,0.0,8192.0,1.5244781970977783,3072.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_3,29.0,DBP48,M0,0.011948647281387453,0.5487563525461746,0.5513445860463415,0.5083254162708135,0.012195121951219513,8192.0,1.2988815307617188,3072.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_3,29.0,DBP48,M1,-0.007152941168030649,0.5491445478248373,0.5503930497700883,0.4982249112455623,0.0,8192.0,1.5492699146270752,3072.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_3,29.0,DBP48,M1c,0.1170978628154633,0.557452971653291,0.5761525257981386,0.5406770338516926,0.0,8192.0,1.1980249881744385,3072.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_3,29.0,DBP48,M2,0.023166175056164053,0.5120768735725874,0.5320512477276309,0.5085754287714386,0.0,8192.0,1.0734305381774902,3072.0,True,diagnostic_replay_all_designed_exposed
