tf_id	binding_site_id	perturbation_type	split_seed	global_spearman	position_spearman	identity_residual_spearman	identity_pairwise_accuracy
GR	GR	mismatch	1306	0.9382429498852846	0.9857142857142854	0.8465261273496095	0.7848484848484848
Max	Max_site_1	canonical_watson_crick	1306	0.9660231660231662	0.8671328671328673	0.7873873873873873	0.7777777777777778
Max	Max_site_1	mismatch	1306	0.9685525365254232	1.0	0.8753315649867375	0.8143939393939394
Max	Max_site_2	canonical_watson_crick	1306	0.9557886627681647	0.9440559440559443	0.7749533448056987	0.8472222222222222
Max	Max_site_2	mismatch	1306	0.853169934279769	0.965034965034965	0.6367936661040109	0.6957070707070707
TBP	TBP_site_1	canonical_watson_crick	1306	0.9448275862068966	0.9393939393939393	0.8620689655172413	0.8333333333333334
TBP	TBP_site_1	mismatch	1306	0.9637127578304049	0.6363636363636362	0.9025626779637473	0.8242424242424242
TBP	TBP_site_2	canonical_watson_crick	1306	0.9252502780867631	0.9151515151515152	0.8865406006674084	0.8333333333333334
TBP	TBP_site_2	mismatch	1306	0.9500520869504825	0.7333333333333332	0.9167928328356135	0.8363636363636363
p53	p53	canonical_watson_crick	1306	0.912150243232218	0.8647058823529412	0.8266391663048197	0.8541666666666666
p53	p53	mismatch	1306	0.9252406723566734	0.9382352941176471	0.8864918753221388	0.8409090909090909
Cbf1	Cbf1	canonical_watson_crick	1307	0.9616473616473618	0.8671328671328673	0.9305019305019305	0.8333333333333334
Cbf1	Cbf1	mismatch	1307	0.9576320231492647	0.9300699300699302	0.9336588698657665	0.8106060606060606
Egr1	Egr1	canonical_watson_crick	1307	0.9845559845559846	0.9510489510489512	0.9333333333333333	0.9444444444444444
Egr1	Egr1	mismatch	1307	0.9790269442582233	0.9930069930069931	0.8849940569432737	0.7876106194690266
Ets1	Ets1_site_1	canonical_watson_crick	1307	0.9782754010695187	1.0	0.9515374331550803	0.7575757575757576
Ets1	Ets1_site_1	mismatch	1307	0.9892028615499412	0.990909090909091	0.977092684556623	0.9048275862068965
Ets1	Ets1_site_3	canonical_watson_crick	1307	0.8815910451102411	0.5090909090909091	0.6383689839572193	0.6666666666666666
Ets1	Ets1_site_3	mismatch	1307	0.5819212947875992	0.7818181818181819	0.5771949620843244	0.6263966480446927
GR	GR	canonical_watson_crick	1307	0.9631093544137022	0.8857142857142855	0.6741765480895915	0.7555555555555555
GR	GR	mismatch	1307	0.9495437101968167	0.9785714285714284	0.8802576211199934	0.8171717171717172
Max	Max_site_1	canonical_watson_crick	1307	0.9837837837837838	0.9790209790209792	0.9075933075933075	0.9166666666666666
Max	Max_site_1	mismatch	1307	0.9578560383575672	1.0	0.8629852905714974	0.8156565656565656
Max	Max_site_2	canonical_watson_crick	1307	0.9366795366795369	0.8741258741258742	0.6823680823680824	0.7777777777777778
Max	Max_site_2	mismatch	1307	0.8610369828705844	0.9440559440559443	0.6372993274253833	0.6734177215189874
