protein_id,motif_distance_bin,baseline,spearman,ndcg_5pct,n_rc_classes,evaluation_status
DBP6,1,NA-MPNN_structural_ppm,,,0,too_few_or_no_scores
DBP6,1,DeepPBS,,,0,too_few_or_no_scores
DBP6,1,SimpleProteinConditionalBaseline,,,0,too_few_or_no_scores
DBP6,2,sequence_hamming,,0.5565056044604924,928,evaluated
DBP6,2,sequence_edit,,0.5565056044604924,928,evaluated
DBP6,2,sequence_kmer3,0.3822096151269296,0.8638507289144678,928,evaluated
DBP6,2,sequence_kmer4,0.40015550094100205,0.7662283644076847,928,evaluated
DBP6,2,NA-MPNN_structural_ppm,,,0,too_few_or_no_scores
DBP6,2,DeepPBS,,,0,too_few_or_no_scores
DBP6,2,SimpleProteinConditionalBaseline,,,0,too_few_or_no_scores
DBP6,3+,sequence_hamming,-0.039855611623968085,0.5007366448068409,7120,evaluated
DBP6,3+,sequence_edit,-0.02608052249938954,0.5399595193307316,7120,evaluated
DBP6,3+,sequence_kmer3,0.33316846593268007,0.8620021203172197,7120,evaluated
DBP6,3+,sequence_kmer4,0.22600157576717517,0.7257001958108569,7120,evaluated
DBP6,3+,NA-MPNN_structural_ppm,,,0,too_few_or_no_scores
DBP6,3+,DeepPBS,,,0,too_few_or_no_scores
DBP6,3+,SimpleProteinConditionalBaseline,,,0,too_few_or_no_scores
DBP9,0,sequence_hamming,,,8,too_few_or_no_scores
DBP9,0,sequence_edit,,,8,too_few_or_no_scores
DBP9,0,sequence_kmer3,,,8,too_few_or_no_scores
DBP9,0,sequence_kmer4,,,8,too_few_or_no_scores
DBP9,0,NA-MPNN_structural_ppm,,,0,too_few_or_no_scores
DBP9,0,DeepPBS,,,0,too_few_or_no_scores
DBP9,0,SimpleProteinConditionalBaseline,,,0,too_few_or_no_scores
DBP9,1,sequence_hamming,,0.6505974975956751,136,evaluated
DBP9,1,sequence_edit,,0.6505974975956751,136,evaluated
DBP9,1,sequence_kmer3,0.40020456886195377,0.6730833748539881,136,evaluated
DBP9,1,sequence_kmer4,0.3677799591560875,0.8684968040281812,136,evaluated
DBP9,1,NA-MPNN_structural_ppm,,,0,too_few_or_no_scores
DBP9,1,DeepPBS,,,0,too_few_or_no_scores
DBP9,1,SimpleProteinConditionalBaseline,,,0,too_few_or_no_scores
DBP9,2,sequence_hamming,,0.5897497551659058,928,evaluated
DBP9,2,sequence_edit,,0.5897497551659058,928,evaluated
DBP9,2,sequence_kmer3,0.21692296798373023,0.7759397663987595,928,evaluated
DBP9,2,sequence_kmer4,0.19822120548870456,0.7331745869807876,928,evaluated
DBP9,2,NA-MPNN_structural_ppm,,,0,too_few_or_no_scores
DBP9,2,DeepPBS,,,0,too_few_or_no_scores
DBP9,2,SimpleProteinConditionalBaseline,,,0,too_few_or_no_scores
DBP9,3+,sequence_hamming,-0.03699237320851436,0.5763465149511111,7120,evaluated
DBP9,3+,sequence_edit,-0.043601512137421555,0.5315711693582689,7120,evaluated
DBP9,3+,sequence_kmer3,0.18093569939662993,0.7685575923416823,7120,evaluated
DBP9,3+,sequence_kmer4,0.18492952256634027,0.7511835730040368,7120,evaluated
DBP9,3+,NA-MPNN_structural_ppm,,,0,too_few_or_no_scores
DBP9,3+,DeepPBS,,,0,too_few_or_no_scores
DBP9,3+,SimpleProteinConditionalBaseline,,,0,too_few_or_no_scores
