split_type,fold_id,seed,dbp_id,protein_cluster,combined_component,model,n_units,spearman,ndcg_1pct,ndcg_5pct,pairwise_accuracy,top1pct_recovery,training_proteins,test_proteins,runtime_seconds,training_pair_count,development_exposed,status
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP35,protein_cluster_2,combined_component_2,M2,8192,0.010731258688170098,0.7226698576015999,0.623103293268809,0.5034501725086254,0.06097560975609756,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,2.8112321000080556,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP5,protein_cluster_2,combined_component_2,M2,8192,-0.13199205615039922,0.5883285566874907,0.5175867802049601,0.452625,0.06097560975609756,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,2.8112321000080556,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP35,protein_cluster_2,combined_component_2,M3,8192,0.15955283510332433,0.6185002960849051,0.5812212046809814,0.5533026651332567,0.0,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,3.925936699990416,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP5,protein_cluster_2,combined_component_2,M3,8192,0.3165766067412911,0.7864784722947715,0.7184376176482756,0.601375,0.036585365853658534,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,3.925936699990416,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,43,DBP35,protein_cluster_2,combined_component_2,M0,8192,0.18235089541214713,0.8327885939383236,0.7432395426888405,0.5622781139056953,0.23170731707317074,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,1.9644883000000846,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,43,DBP5,protein_cluster_2,combined_component_2,M0,8192,0.10766475129912596,0.7122713411990365,0.6391012452931912,0.5339,0.15853658536585366,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,1.9644883000000846,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,43,DBP35,protein_cluster_2,combined_component_2,M1,8192,-0.1059820258762293,0.471334586417684,0.45962469498645836,0.4658982949147457,0.06097560975609756,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,2.934970799993607,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,43,DBP5,protein_cluster_2,combined_component_2,M1,8192,0.10209775044060486,0.7330120127547541,0.6436141669076714,0.538325,0.10975609756097561,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,2.934970799993607,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,43,DBP35,protein_cluster_2,combined_component_2,M1c,8192,0.07519683456248194,0.6854602907464942,0.650379830335023,0.5282014100705035,0.10975609756097561,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,2.9883880999987014,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,43,DBP5,protein_cluster_2,combined_component_2,M1c,8192,0.16302351250059083,0.6979738270210868,0.6593777950191116,0.553875,0.10975609756097561,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,2.9883880999987014,2560,False,complete
